word;translation;example_sentence;transition_sentence
varied; unterschiedlich/vielfältig; They have varied interests.; Sie haben unterschiedliche Interessen.
vein; Ader; The blood flows through the veins.; Das Blut fließt durch die Adern.
venture; wagen; They decided to venture into a new business.; Sie entschieden sich, ein neues Geschäft zu wagen.
verbal; verbal; She gave a verbal agreement.; Sie gab eine verbale Vereinbarung.
verdict; Urteil; The jury reached a verdict.; Die Jury fällte ein Urteil.
verify; überprüfen; Please verify the information.; Bitte überprüfe die Information.
verse; Vers; The poem has many verses.; Das Gedicht hat viele Verse.
versus; gegen; It’s our team versus their team.; Es ist unser Team gegen deren Team.
vertical; vertikal; The line is vertical.; Die Linie ist vertikal.
vessel; Gefäß; The ship is a large vessel.; Das Schiff ist ein großes Gefäß.
veteran; Veteran; He is a war veteran.; Er ist ein Kriegsveteran.
viable; realisierbar/lebensfähig; The plan seems viable.; Der Plan scheint realisierbar.
vibrant; lebendig; The city is very vibrant.; Die Stadt ist sehr lebendig.
vice; Laster; Gambling is his only vice.; Glücksspiel ist sein einziges Laster.
vicious; bösartig; The dog had a vicious temper.; Der Hund hatte ein bösartiges Temperament.
viewpoint; Standpunkt; From my viewpoint, that is not correct.; Von meinem Standpunkt, ist das nicht korrekt.
villager; Dorfbewohner; The villagers were very welcoming.; Die Dorfbewohner waren sehr einladend.
violate; verstoßen; The driver violated the speed limit.; Der Fahrer verstieß gegen die Geschwindigkeitsbegrenzung.
violation; Verstoß; This is a violation of the rules.; Das ist ein Verstoß der Regeln.
virtue; Tugend; Patience is a virtue.; Geduld ist eine Tugend.
visa; Visum; You need a visa to travel there.; Du brauchst ein Visum, um dort hin zu reisen.
visible; sichtbar; The stars are visible at night.; Die Sterne sind sichtbar in der Nacht.
vocal; stimmlich; She is very vocal about her opinions.; Sie ist sehr stimmlich über ihre Meinungen.
voluntary; freiwillig; His participation was voluntary.; Seine Teilnahme war freiwillig.
voting; Wahl; Voting is important for citizens.; Wahl ist wichtig für Bürger.
vow; Gelübde; They took a vow of silence.; Sie nahmen ein Gelübde der Stille.
vulnerability; Verletzlichkeit; His vulnerability is obvious.; Seine Verletzlichkeit ist offensichtlich.
vulnerable; verletzlich; Children are vulnerable in such situations.; Kinder sind verletzlich in solchen Situationen.
wander; wandern; They like to wander in the forest.; Sie mögen es, im Wald zu wandern.
ward; Station/Abteilung; He works in the hospital ward.; Er arbeitet in der Krankenhausstation.
warehouse; Lagerhaus; The goods are stored in the warehouse.; Die Güter sind gelagert in dem Lagerhaus.
warfare; Kriegführung; They have experience with modern warfare.; Sie haben Erfahrung mit moderner Kriegführung.
warming; Erwärmung; Global warming is a problem.; Globale Erwärmung ist ein Problem.
warrant; Haftbefehl/Rechtfertigung; The police had a warrant to search the house.; Die Polizei hatte einen Haftbefehl, um das Haus zu durchsuchen.
warrior; Krieger; He is a brave warrior.; Er ist ein mutiger Krieger.
weaken; schwächen; The storm will weaken soon.; Der Sturm wird sich bald schwächen.
weave; weben; They weave traditional cloth.; Sie weben traditionelles Tuch.
weed; Unkraut; He pulled the weeds in the garden.; Er zog das Unkraut im Garten.
weekly; wöchentlich; They have a weekly meeting.; Sie haben eine wöchentliche Besprechung.
weird; seltsam; That was a weird dream.; Das war ein seltsamer Traum.
welfare; Wohlfahrt; The state is responsible for the welfare of citizens.; Der Staat ist verantwortlich für die Wohlfahrt der Bürger.
well; gut; She is doing well at school.; Sie macht gut in der Schule.
well-being; Wohlbefinden; Physical health is important for well-being.; Körperliche Gesundheit ist wichtig für Wohlbefinden.
whatsoever; überhaupt; I have no idea whatsoever.; Ich habe keine Ahnung überhaupt.
wheat; Weizen; They grow a lot of wheat.; Sie bauen viel Weizen an.
whereby; wodurch; They have a contract whereby they share profits.; Sie haben einen Vertrag wodurch sie Gewinne teilen.
whilst; während; They are talking whilst walking.; Sie reden während gehend.
whip; Peitsche/schlagen; He used a whip to make the horse go faster.; Er nutzte eine Peitsche um das Pferd schneller gehen zu lassen.
whoever; wer auch immer; Whoever calls first gets it.; Wer auch immer zuerst anruft, bekommt es.
wholly; gänzlich; I am wholly committed to this project.; Ich bin gänzlich engagiert zu diesem Projekt.
widen; erweitern; We need to widen the road.; Wir müssen die Straße erweitern.
widespread; weit verbreitet; There is widespread poverty in the region.; Es gibt weit verbreitete Armut in der Region.
widow; Witwe; She is a widow now.; Sie ist eine Witwe nun.
width; Breite; What is the width of the room?; Was ist die Breite des Raumes?
willingness; Bereitschaft; Her willingness to help is impressive.; Ihre Bereitschaft zu helfen ist beeindruckend.
wipe; wischen; You can wipe the table with this cloth.; Du kannst den Tisch mit diesem Tuch wischen.
wisdom; Weisheit; They value his wisdom.; Sie schätzen seine Weisheit.
wit; Witz; She has a quick wit.; Sie hat einen schnellen Witz.
withdraw; zurückziehen/abheben; You can withdraw money from the ATM.; Du kannst Geld von dem Geldautomat abheben.
withdrawal; Rückzug/Abhebung; There is a fee for each withdrawal.; Es gibt eine Gebühr für jede Abhebung.
workforce; Belegschaft; They have a large workforce.; Sie haben eine große Belegschaft.
workout; Training; They had a long workout at the gym.; Sie hatten ein langes Training im Fitnessstudio.
workplace; Arbeitsplatz; The workplace should be safe.; Der Arbeitsplatz sollte sicher sein.
workshop; Werkstatt/Workshop; He runs a carpentry workshop.; Er betreibt eine Tischlerwerkstatt.
worm; Wurm; There is a worm in the apple.; Da ist ein Wurm in dem Apfel.
worship; anbeten; They worship in the church every Sunday.; Sie beten in der Kirche jeden Sonntag.
worthwhile; lohnenswert; It was a worthwhile experience.; Es war eine lohnenswerte Erfahrung.
worthy; würdig; He is a worthy candidate.; Er ist ein würdiger Kandidat.
wrist; Handgelenk; She has a bracelet on her wrist.; Sie hat ein Armband auf ihrem Handgelenk.
yell; schreien; He yelled loudly for help.; Er schrie laut nach Hilfe.
yield; Ertrag/nachgeben; The farm yields a good harvest.; Die Farm liefert eine gute Ernte; He didn't yield his position.; Er gab nicht seine Position nach.
youngster; Jüngling; The youngster is very energetic.; Der Jüngling ist sehr energiegeladen.
