word;translation;example_sentence;transition_sentence
euro; Euro; it costs one euro; es kostet einen Euro
evaluate; bewerten; they evaluate the performance; sie bewerten die Leistung
even; sogar; even he is here; sogar er ist hier
evening; Abend; it's a nice evening; es ist ein schöner Abend
event; Ereignis; it's an important event; es ist ein wichtiges Ereignis
eventually; schließlich; eventually they agree; schließlich stimmen sie zu
ever; jemals; have you ever been there?; warst du jemals dort?
every; jeder; every day is a new day; jeder Tag ist ein neuer Tag
everybody; jeder; everybody is here; jeder ist hier
everyday; alltäglich; it's an everyday thing; es ist eine alltägliche Sache
everyone; jeder; everyone is welcome; jeder ist willkommen
everything; alles; I need everything; ich brauche alles
everywhere; überall; it's everywhere; es ist überall
evidence; Beweis; they have evidence; sie haben Beweise
evil; böse; it's an evil thing; es ist eine böse Sache
exact; exakt; that's the exact time; das ist die exakte Zeit
exactly; genau; exactly what I mean; genau das, was ich meine
exam; Prüfung; I have an exam; ich habe eine Prüfung
examination; Untersuchung; it's a detailed examination; es ist eine detaillierte Untersuchung
examine; untersuchen; they examine the evidence; sie untersuchen die Beweise
example; Beispiel; that's a good example; das ist ein gutes Beispiel
excellent; ausgezeichnet; that's an excellent result; das ist ein ausgezeichnetes Ergebnis
except; außer; everybody is here except him; alle sind hier außer ihm
exchange; austauschen; they exchange ideas; sie tauschen Ideen aus
excited; aufgeregt; I am excited; ich bin aufgeregt
excitement; Aufregung; there is excitement; da ist Aufregung
exciting; aufregend; it's exciting; es ist aufregend
excuse; Entschuldigung; it's an excuse; es ist eine Entschuldigung
executive; Führungskraft; he is an executive; er ist eine Führungskraft
exercise; Übung; I do exercise; ich mache Übung
exhibition; Ausstellung; it's an art exhibition; es ist eine Kunstausstellung
exist; existieren; they exist; sie existieren
existence; Existenz; it's the existence of life; es ist die Existenz des Lebens
expand; erweitern; they expand their business; sie erweitern ihr Geschäft
expect; erwarten; I expect that; ich erwarte das
expectation; Erwartung; it's a big expectation; es ist eine große Erwartung
expected; erwartet; it's the expected result; es ist das erwartete Ergebnis
expedition; Expedition; they go on an expedition; sie gehen auf eine Expedition
expense; Ausgabe; it's a big expense; es ist eine große Ausgabe
expensive; teuer; it's expensive; es ist teuer
experience; Erfahrung; it's an experience; es ist eine Erfahrung
experienced; erfahren; he is an experienced worker; er ist ein erfahrener Arbeiter
experiment; Experiment; they do an experiment; sie machen ein Experiment
expert; Experte; he is an expert; er ist ein Experte
explain; erklären; please explain it; bitte erkläre es
explanation; Erklärung; that's a good explanation; das ist eine gute Erklärung
explode; explodieren; the bomb explodes; die Bombe explodiert
exploration; Erforschung; it's an exploration of the sea; es ist eine Erforschung des Meeres
explore; erforschen; they explore the jungle; sie erforschen den Dschungel
explosion; Explosion; there was an explosion; da war eine Explosion
export; Export; they export the product; sie exportieren das Produkt
expose; aussetzen; they expose him to the sun; sie setzen ihn der Sonne aus
express; ausdrücken; they express their opinion; sie drücken ihre Meinung aus
expression; Ausdruck; that's a sad expression; das ist ein trauriger Ausdruck
extend; erweitern; they extend the road; sie erweitern die Straße
extent; Ausmaß; to what extent?; in welchem Ausmaß?
external; extern; it's an external factor; es ist ein externer Faktor
extra; extra; it's an extra cost; es sind extra Kosten
extraordinary; außergewöhnlich; it's an extraordinary day; es ist ein außergewöhnlicher Tag
extreme; extrem; it's an extreme temperature; es ist eine extreme Temperatur
extremely; extrem; it's

59,8s
mach weiter

extremely; extrem; it's extremely cold; es ist extrem kalt
eye; Auge; I see with my eye; ich sehe mit meinem Auge
face; Gesicht; she has a beautiful face; sie hat ein schönes Gesicht
facility; Einrichtung; it's a sports facility; es ist eine Sporteinrichtung
fact; Tatsache; it's a fact; es ist eine Tatsache
factor; Faktor; it's an important factor; es ist ein wichtiger Faktor
factory; Fabrik; they work in a factory; sie arbeiten in einer Fabrik
fail; scheitern; they fail the test; sie scheitern bei dem Test
failure; Misserfolg; that's a failure; das ist ein Misserfolg
fair; fair; it's a fair deal; es ist ein fairer Deal
fairly; ziemlich; it's fairly good; es ist ziemlich gut
faith; Glaube; I have faith; ich habe Glauben
fall; fallen; they fall down; sie fallen runter
false; falsch; that's false; das ist falsch
familiar; vertraut; this is familiar; das ist vertraut
family; Familie; they are my family; sie sind meine Familie
famous; berühmt; he is famous; er ist berühmt
fan; Fan; I am a fan; ich bin ein Fan
fancy; schick; it's a fancy restaurant; es ist ein schickes Restaurant
fantastic; fantastisch; it's fantastic; es ist fantastisch
far; weit; it's far away; es ist weit weg
farm; Bauernhof; it's a big farm; es ist ein großer Bauernhof
farmer; Bauer; he is a farmer; er ist ein Bauer
farming; Landwirtschaft; he works in farming; er arbeitet in der Landwirtschaft
fascinating; faszinierend; it's fascinating; es ist faszinierend
fashion; Mode; it's a fashion show; es ist eine Modenschau
fashionable; modisch; this is fashionable; das ist modisch
fast; schnell; they run fast; sie rennen schnell
fasten; befestigen; they fasten the seatbelt; sie befestigen den Sicherheitsgurt
fat; fett; he is fat; er ist fett
father; Vater; he is my father; er ist mein Vater
fault; Fehler; it's my fault; es ist mein Fehler
favour; Gefallen; I do a favour; ich tue einen Gefallen
favourite; Lieblings; it's my favourite; es ist mein Lieblings
fear; Angst; I have a fear; ich habe Angst
feather; Feder; it's a feather; es ist eine Feder
feature; Merkmal; it's an important feature; es ist ein wichtiges Merkmal
february; Februar; it's february; es ist Februar
fee; Gebühr; there is a fee; da ist eine Gebühr
feed; füttern; they feed the animal; sie füttern das Tier
feedback; Feedback; they give feedback; sie geben Feedback
feel; fühlen; I feel happy; ich fühle mich glücklich
feeling; Gefühl; it's a good feeling; es ist ein gutes Gefühl
fellow; Kerl; he is a nice fellow; er ist ein netter Kerl
female; weiblich; she is female; sie ist weiblich
fence; Zaun; it's a fence; es ist ein Zaun
festival; Festival; it's a music festival; es ist ein Musikfestival
few; wenige; there are a few; da sind wenige
fiction; Fiktion; it's fiction; es ist Fiktion
field; Feld; it's a big field; es ist ein großes Feld
fifteen; fünfzehn; it's fifteen o'clock; es ist fünfzehn Uhr
fifth; fünfte; it's the fifth time; es ist das fünfte Mal
fifty; fünfzig; it's fifty; es ist fünfzig
fight; kämpfen; they fight; sie kämpfen
fighting; Kampf; it's a fighting; es ist ein Kampf
figure; Zahl/Figur; it's a figure; es ist eine Zahl/Figur
file; Datei; it's a file; es ist eine Datei
fill; füllen; they fill the bottle; sie füllen die Flasche
film; Film; it's a good film; es ist ein guter Film
final; final; it's the final result; es ist das finale Ergebnis
finally; schließlich; finally, they agree; schließlich stimmen sie zu
finance; Finanzen; I study finance; ich studiere Finanzen
financial; finanziell; it's a financial problem; es ist ein finanzielles Problem
find; finden; I find the book; ich finde das Buch
finding; Fund; it's a recent finding; es ist ein aktueller Fund
fine; gut; it's fine; es ist gut
finger; Finger; I hurt my finger; ich verletze meinen Finger
finish; beenden; they finish the work; sie beenden die Arbeit
fire; Feuer; there is a fire; da ist ein Feuer
firm; Firma; it's a law firm; es ist eine Anwaltskanzlei
first; erste; it's the first time; es ist das erste Mal
firstly; erstens; firstly, it's true; erstens, ist es wahr
fish; Fisch; I eat fish; ich esse Fisch
fishing; Fischen; I like fishing; ich mag Fischen
fit; passen; it doesn't fit; es passt nicht
fitness; Fitness; it's about fitness; es geht um Fitness
five; fünf; it's five o'clock; es ist fünf Uhr
fix; reparieren; they fix the car; sie reparieren das Auto
fixed; fest; it's fixed; es ist fest
flag; Flagge; it's a flag; es ist eine Flagge
flame; Flamme; the flame is hot; die Flamme ist heiß
flash; Blitz; it's a flash; es ist ein Blitz
flat; flach; the surface is flat; die Oberfläche ist flach
flexible; flexibel; it's flexible; es ist flexibel
flight; Flug; I have a flight; ich habe einen Flug
float; schweben; it floats in the air; es schwebt in der Luft
flood; Flut; there is a flood; da ist eine Flut
floor; Boden; it's on the floor; es ist auf dem Boden
flour; Mehl; I need flour; ich brauche Mehl
flow; fließen; the river flows; der Fluss fließt
flower; Blume; it's a beautiful flower; es ist eine schöne Blume
flu; Grippe; I have the flu; ich habe die Grippe
fly; fliegen; birds fly; Vögel fliegen
flying; Fliegen; I like flying; ich mag Fliegen
focus; Fokus; the focus is on this; der Fokus liegt darauf
fold; falten; they fold the paper; sie falten das Papier
folding; Falten; the folding is easy; das Falten ist einfach
folk; Leute; these are folk songs; das sind Volkslieder
follow; folgen; they follow the path; sie folgen dem Pfad
following; folgende; it's the following day; es ist der folgende Tag
food; Essen; I eat food; ich esse Essen
foot; Fuß; I hurt my foot; ich verletze meinen Fuß
football; Fußball; they play football; sie spielen Fußball
for; für; it's for you; es ist für dich
force; Kraft; it's a big force; es ist eine große Kraft
foreign; ausländisch; it's a foreign language; es ist eine ausländische Sprache
forest; Wald; it's a big forest; es ist ein großer Wald
forever; für immer; it lasts forever; es dauert für immer
forget; vergessen; don't forget it; vergiss es nicht
forgive; vergeben; I forgive you; ich vergebe dir
fork; Gabel; I eat with a fork; ich esse mit einer Gabel
form; Form; it's a new form; es ist eine neue Form
formal; formell; it's a formal event; es ist ein formelles Ereignis
former; ehemalige; it's my former job; es ist mein ehemaliger Job
fortunately; glücklicherweise; fortunately, they are here; glücklicherweise sind sie hier
fortune; Vermögen; he has a big fortune; er hat ein großes Vermögen
forty; vierzig; it's forty; es ist vierzig
forward; vorwärts; move forward; bewege dich vorwärts
found; gefunden; I found it; ich habe es gefunden
four; vier; it's four o'clock; es ist vier Uhr
fourteen; vierzehn; it's fourteen; es ist vierzehn
fourth; vierte; it's the fourth one; es ist der vierte
frame; Rahmen; it's a picture frame; es ist ein Bilderrahmen
free; frei; it's free; es ist frei
freedom; Freiheit; I want freedom; ich will Freiheit
freeze; gefrieren; the water freezes; das Wasser gefriert
frequency; Häufigkeit; it's the frequency; es ist die Häufigkeit
frequently; häufig; they do it frequently; sie machen es häufig
fresh; frisch; it's fresh; es ist frisch
friday; Freitag; it's friday; es ist Freitag
fridge; Kühlschrank; it's in the fridge; es ist im Kühlschrank
friend; Freund; he is my friend; er ist mein Freund
friendly; freundlich; he is friendly; er ist freundlich
friendship; Freundschaft; it's a good friendship; es ist eine gute Freundschaft
frighten; erschrecken; they frighten me; sie erschrecken mich
frightened; erschrocken; I am frightened; ich bin erschrocken
frightening; erschreckend; it's frightening; es ist erschreckend
